clean_text,label_id
offensiveuntargetede,14303
offensiveuntargetede,21465
offensivetargetedinsultother,17348
notoffensive,4884
notoffensive,8379
offensivetargetedinsultindividual,26894
offensivetargetedinsultindividual,5338
notoffensive,29539
offensivetargetedinsultindividual,11055
notoffensive,21160
notoffensive,25857
offensiveuntargetede,5966
offensivetargetedinsultindividual,13007
offensiveuntargetede,6952
notoffensive,17270
offensiveuntargetede,10769
offensivetargetedinsultother,7391
notoffensive,5302
offensiveuntargetede,13013
offensiveuntargetede,5298
notoffensive,8832
offensiveuntargetede,7070
notoffensive,26669
notoffensive,18583
notoffensive,17357
notoffensive,21651
offensiveuntargetede,12067
notoffensive,5089
offensiveuntargetede,1642
offensivetargetedinsultindividual,5361
notoffensive,1103
notoffensive,13273
offensivetargetedinsultindividual,14307
notoffensive,26121
offensivetargetedinsultindividual,20378
offensiveuntargetede,26931
notoffensive,5006
offensiveuntargetede,7019
offensiveuntargetede,6576
offensivetargetedinsultindividual,6565
offensivetargetedinsultindividual,25851
notoffensive,28702
notoffensive,26968
offensivetargetedinsultindividual,14160
offensiveuntargetede,26729
offensiveuntargetede,19707
offensivetargetedinsultgroup,32469
offensiveuntargetede,20988
notoffensive,34852
offensiveuntargetede,20990
offensiveuntargetede,11679
notoffensive,128
offensivetargetedinsultindividual,16690
notoffensive,13268
offensivetargetedinsultother,35763
nottamil,4705
offensiveuntargetede,1348
offensiveuntargetede,29714
offensiveuntargetede,20855
notoffensive,14178
notoffensive,3376
notoffensive,26607
notoffensive,29536
notoffensive,20907
offensiveuntargetede,14410
notoffensive,26654
offensivetargetedinsultindividual,12927
notoffensive,1242
offensiveuntargetede,3508
notoffensive,13023
notoffensive,13392
notoffensive,8867
offensivetargetedinsultindividual,30264
notoffensive,28725
offensiveuntargetede,4446
notoffensive,6798
offensiveuntargetede,13270
notoffensive,10208
offensiveuntargetede,29691
notoffensive,13024
offensiveuntargetede,34038
offensiveuntargetede,17738
notoffensive,25861
offensiveuntargetede,28722
notoffensive,34547
notoffensive,18537
notoffensive,27166
offensiveuntargetede,12989
notoffensive,14416
offensiveuntargetede,20510
notoffensive,188
notoffensive,28735
offensivetargetedinsultindividual,5396
notoffensive,13267
offensiveuntargetede,30591
notoffensive,30160
offensiveuntargetede,2542
notoffensive,27534
notoffensive,29873
notoffensive,20917
notoffensive,39398
offensivetargetedinsultother,26131
offensivetargetedinsultgroup,41437
notoffensive,36452
notoffensive,39615
notoffensive,41832
notoffensive,3737
notoffensive,22429
notoffensive,38403
notoffensive,40586
notoffensive,42692
notoffensive,37434
notoffensive,35986
notoffensive,36436
notoffensive,36436
notoffensive,36436
notoffensive,40003
notoffensive,41941
notoffensive,40509
notoffensive,41986
notoffensive,37070
notoffensive,39007
notoffensive,1523
notoffensive,18646
notoffensive,38643
offensivetargetedinsultindividual,12006
notoffensive,38672
notoffensive,42259
offensivetargetedinsultgroup,40229
notoffensive,4969
notoffensive,40723
notoffensive,40990
notoffensive,5939
notoffensive,37605
notoffensive,37339
notoffensive,37643
offensivetargetedinsultgroup,17652
notoffensive,41755
offensivetargetedinsultgroup,12505
notoffensive,42765
offensivetargetedinsultgroup,17146
notoffensive,40585
offensivetargetedinsultgroup,30654
notoffensive,39156
notoffensive,36475
notoffensive,37653
offensivetargetedinsultgroup,15997
notoffensive,41041
offensivetargetedinsultgroup,30268
notoffensive,14696
notoffensive,40216
notoffensive,11367
notoffensive,38979
notoffensive,40607
notoffensive,37544
notoffensive,36794
notoffensive,36965
notoffensive,41047
notoffensive,4426
notoffensive,40072
notoffensive,12411
notoffensive,40446
notoffensive,36953
notoffensive,41550
notoffensive,42165
offensivetargetedinsultgroup,33029
notoffensive,38504
notoffensive,40659
offensivetargetedinsultgroup,43354
notoffensive,13362
notoffensive,321
notoffensive,36074
offensivetargetedinsultgroup,4425
notoffensive,40553
notoffensive,43204
notoffensive,41813
notoffensive,43184
notoffensive,38176
notoffensive,42461
notoffensive,38399
offensivetargetedinsultgroup,27128
notoffensive,10975
notoffensive,37838
notoffensive,17719
notoffensive,42635
notoffensive,38357
notoffensive,12111
notoffensive,10588
offensivetargetedinsultgroup,19601
notoffensive,40711
notoffensive,9257
notoffensive,33345
notoffensive,41007
notoffensive,26372
notoffensive,34388
offensivetargetedinsultindividual,10419
notoffensive,18255
notoffensive,42540
notoffensive,38445
notoffensive,4143
offensivetargetedinsultgroup,26040
notoffensive,4478
notoffensive,32520
notoffensive,25494
notoffensive,21679
notoffensive,25449
notoffensive,25539
notoffensive,27615
